epoch,train_acc,test_acc,avg_loss
1,0.5,0.7307692307692307,1.015469535191854
2,0.5,0.7307692307692307,0.8047078013420105
3,0.5,0.7307692307692307,0.8599975188573201
4,0.5,0.7307692307692307,0.8466427564620972
5,0.5,0.7307692307692307,0.7003090739250183
6,0.5833333333333334,0.75,0.7339300711949667
7,0.5583333333333333,0.7435897435897436,0.6385319511095683
8,0.775,0.7564102564102564,0.6865283052126566
9,0.6416666666666667,0.7564102564102564,0.5604999323685964
10,0.7916666666666666,0.7692307692307693,0.7274038612842559
11,0.8833333333333333,0.7243589743589743,0.5261249711116155
12,0.7833333333333333,0.7692307692307693,0.380623618264993
13,0.9083333333333333,0.782051282051282,0.4307290777564049
14,0.9916666666666667,0.7435897435897436,0.2939774086078008
15,1.0,0.7371794871794872,0.13595901678005853
16,1.0,0.7564102564102564,0.06914124265313148
17,1.0,0.75,0.0330170555661122
18,1.0,0.7371794871794872,0.019816406071186066
19,1.0,0.75,0.013441272545605898
20,1.0,0.7435897435897436,0.010016562665502231
