epoch,train_acc,test_acc,avg_loss
1,0.5,0.2692307692307692,0.6953610181808472
2,0.5,0.2692307692307692,0.6304160316785177
3,0.5,0.2692307692307692,0.4899099429448446
4,0.8333333333333334,0.46794871794871795,0.39653992652893066
5,0.7833333333333333,0.3717948717948718,0.37297298908233645
6,0.6333333333333333,0.3333333333333333,0.4675889457265536
7,0.9833333333333333,0.7756410256410257,0.29388166119654974
8,0.9916666666666667,0.6346153846153846,0.11399540404478709
9,1.0,0.6025641025641025,0.040426772211988767
10,1.0,0.6794871794871795,0.014159360714256764
11,1.0,0.6538461538461539,0.007106994464993477
12,1.0,0.7307692307692307,0.007644808354477088
13,1.0,0.6282051282051282,0.0062588448791454235
14,1.0,0.6858974358974359,0.0036622290965169666
15,1.0,0.6282051282051282,0.004168815072625875
16,1.0,0.7051282051282052,0.003944513838117321
17,1.0,0.6602564102564102,0.002404824535672863
18,1.0,0.6602564102564102,0.0023941010159129897
19,1.0,0.6987179487179487,0.0023025197520231207
20,1.0,0.6858974358974359,0.0023737203096970915
